t,mx,my,mz,mqx,mqy,mqz,mqw,m_error,ex,ey,ez,eqx,eqy,eqz,eqw,vx,vy,vz,ax,ay,az,sx,sy,sz,p,q,r,m1,m2,m3,m4,vbat,armed,flying,tumbled,locked,crashed,agent_id
1775762881.64717,0.21794086694717407,-0.0684855729341507,0.017979968339204788,0.005333546549081802,-0.010663402266800404,0.8602350950241089,-0.5097583532333374,0.0004092484014108777,0.218,-0.068,0.017,0.0,-0.009686394262829417,0.8435883749489503,-0.5369029962825448,0.03,0.011,-0.015,0.13,0.04,9.716,0.0,0.0,0.0,0.0,-0.003,-0.001,0.0,0.0,0.0,0.0,4.075,True,False,False,False,False,CF_1
234541,-0.23880718648433685,-0.10855453461408615,0.016461078077554703,0.007119976915419102,0.0012152871349826455,-0.9601457715034485,-0.2794063687324524,0.00015370843175332993,-0.239,-0.108,0.015,-0.005535082435902524,-0.0,0.9470512299075609,0.3210347812823464,-0.013,0.001,-0.018,-0.052,0.01,9.686,0.0,0.0,0.0,0.001,-0.002,0.0,0.0,0.0,0.0,0.0,4.085,True,False,False,False,False,CF_2
239522,0.21794219315052032,-0.06848698854446411,0.017970707267522812,0.005214360076934099,-0.010632424615323544,0.8602619767189026,-0.5097148418426514,0.00040649823495186865,0.219,-0.067,0.017,0.0,-0.009686394262829417,0.8427060758981503,-0.5382867668915204,0.033,0.012,-0.017,0.133,0.04,9.685,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,4.075,True,False,False,False,False,CF_1
1775762881.6713424,-0.23880654573440552,-0.1085529699921608,0.016454245895147324,0.00702681252732873,0.0013400252209976315,-0.9601441621780396,-0.27941375970840454,0.00014833344903308898,-0.239,-0.108,0.015,-0.005535082435902524,-0.0,0.9470512299075609,0.3210347812823464,-0.013,0.001,-0.018,-0.052,0.01,9.686,0.0,0.0,0.0,0.001,-0.002,0.0,0.0,0.0,0.0,0.0,4.085,True,False,False,False,False,CF_2
239542,0.21794070303440094,-0.06848523765802383,0.01798425242304802,0.005183655768632889,-0.010615803301334381,0.8602325320243835,-0.5097650289535522,0.00040550457197241485,0.219,-0.067,0.017,0.0,-0.009686394262829417,0.8427060758981503,-0.5382867668915204,0.033,0.012,-0.017,0.133,0.04,9.685,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,4.075,True,False,False,False,False,CF_1
234580,-0.2388022392988205,-0.10855524986982346,0.01646292768418789,0.007085612043738365,0.0014770813286304474,-0.9601477980613708,-0.2793993353843689,0.00014472212933469564,-0.239,-0.108,0.015,-0.005535082435902524,-0.0,0.9465810267793934,0.322418551891322,-0.014,0.001,-0.019,-0.058,0.0,9.666,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,4.085,True,False,False,False,False,CF_2
239561,0.2179531753063202,-0.06847956776618958,0.01801971159875393,0.005642148666083813,-0.01056866254657507,0.8602101802825928,-0.5097989439964294,0.00041444506496191025,0.219,-0.067,0.017,0.0,-0.009686394262829417,0.8427060758981503,-0.5382867668915204,0.029,0.01,-0.014,0.124,0.045,9.71,0.0,0.0,0.0,0.0,-0.002,0.0,0.0,0.0,0.0,0.0,4.075,True,False,False,False,False,CF_1
1775762881.7066963,-0.23880146443843842,-0.10855521261692047,0.016463283449411392,0.00698804808780551,0.0013572287280112505,-0.9601458311080933,-0.2794090509414673,0.00014431406452786177,-0.239,-0.108,0.015,-0.005535082435902524,-0.0,0.9465810267793934,0.322418551891322,-0.014,0.001,-0.019,-0.058,0.0,9.666,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,4.085,True,False,False,False,False,CF_2
239572,0.2179466336965561,-0.06848102807998657,0.01800098828971386,0.005291379056870937,-0.010669463314116001,0.8602293133735657,-0.5097683072090149,0.00040778800030238926,0.219,-0.068,0.017,0.0,-0.009686394262829417,0.8435883749489503,-0.5369029962825448,0.029,0.01,-0.014,0.124,0.045,9.71,0.0,0.0,0.0,0.0,-0.002,0.0,0.0,0.0,0.0,0.0,4.075,True,False,False,False,False,CF_1
234610,-0.23880510032176971,-0.10854947566986084,0.01645599491894245,0.006969835609197617,0.0010762786259874701,-0.9601816534996033,-0.2792873680591583,0.00014016735076438636,-0.239,-0.108,0.015,-0.005535082435902524,-0.0,0.9465810267793934,0.322418551891322,-0.014,0.001,-0.019,-0.058,0.0,9.666,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,4.085,True,False,False,False,False,CF_2
1775762881.7384124,0.21796438097953796,-0.06847970187664032,0.018026113510131836,0.005526099819689989,-0.01061469316482544,0.8602116107940674,-0.5097968578338623,0.00041333766421303153,0.219,-0.068,0.017,0.0,-0.009686394262829417,0.8435883749489503,-0.5369029962825448,0.029,0.01,-0.014,0.124,0.045,9.71,0.0,0.0,0.0,0.0,-0.002,0.0,0.0,0.0,0.0,0.0,4.075,True,False,False,False,False,CF_1
234628,-0.23878805339336395,-0.1085553765296936,0.01648322306573391,0.007200958672910929,0.0012892016675323248,-0.9601534605026245,-0.2793777883052826,0.00014777336036786437,-0.239,-0.108,0.015,-0.005535082435902524,-0.0,0.9465810267793934,0.322418551891322,-0.012,0.0,-0.017,-0.053,-0.002,9.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.085,True,False,False,False,False,CF_2
239602,0.21794986724853516,-0.06848378479480743,0.018005484715104103,0.005206138826906681,-0.010638819076120853,0.8602348566055298,-0.5097604393959045,0.00040564892697148025,0.219,-0.068,0.017,0.0,-0.009686394262829417,0.8435883749489503,-0.5369029962825448,0.029,0.01,-0.014,0.124,0.045,9.71,0.0,0.0,0.0,0.0,-0.002,0.0,0.0,0.0,0.0,0.0,4.075,True,False,False,False,False,CF_1
234641,-0.23878562450408936,-0.10856049507856369,0.016475491225719452,0.00725956168025732,0.0012570747639983892,-0.960161030292511,-0.2793501913547516,0.0001458602346247062,-0.239,-0.108,0.015,-0.005535082435902524,-0.0,0.9465810267793934,0.322418551891322,-0.012,0.0,-0.017,-0.053,-0.002,9.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.085,True,False,False,False,False,CF_2
