t,mx,my,mz,mqx,mqy,mqz,mqw,m_error,ex,ey,ez,eqx,eqy,eqz,eqw,vx,vy,vz,ax,ay,az,sx,sy,sz,p,q,r,m1,m2,m3,m4,vbat,armed,flying,tumbled,locked,crashed,agent_id
31298,-0.08470840752124786,0.04191043972969055,1.0235029458999634,-0.005446992814540863,0.005331255495548248,-0.4516866207122803,-0.8921440839767456,0.000698396353982389,-0.084,0.041,1.023,0.004151311826926893,-0.004151311826926893,0.4511092185260557,0.8924494418066732,-0.002,-0.012,-0.003,-0.125,-0.147,9.846,-0.0882142186164856,0.03350362181663513,0.9999980330467224,0.014,-0.016,0.066,0.6780041199359121,0.8255741206988632,0.7064927138170444,0.817441062027924,3.241,True,True,False,False,False,CF_2
1776181428.7799244,-0.08474774658679962,0.04192670062184334,1.023465871810913,-0.005221642553806305,0.004663687199354172,-0.4522264003753662,-0.891875684261322,0.0006983975181356072,-0.084,0.041,1.023,0.004151311826926893,-0.004151311826926893,0.4511092185260557,0.8924494418066732,-0.002,-0.012,-0.003,-0.125,-0.147,9.846,-0.0882142186164856,0.03350362181663513,0.9999980330467224,0.014,-0.016,0.066,0.6850232700083925,0.8193789578088044,0.701579308766308,0.8185091935606927,3.241,True,True,False,False,False,CF_2
1776181428.7974353,-0.08480275422334671,0.04194933548569679,1.0233988761901855,-0.0052230386063456535,0.004237643908709288,-0.4525793194770813,-0.8916987776756287,0.0007048447732813656,-0.084,0.04,1.023,0.004151311826926893,-0.002767541217951262,0.4524929891350314,0.8917540031361603,-0.002,-0.012,-0.003,-0.125,-0.147,9.846,-0.0882142186164856,0.03350362181663513,0.9999980330467224,0.014,-0.016,0.066,0.6850232700083925,0.8193789578088044,0.701579308766308,0.8185091935606927,3.241,True,True,False,False,False,CF_2
31352,-0.08488693833351135,0.04192272946238518,1.0232586860656738,-0.004511102102696896,0.0022092582657933235,-0.45311498641967773,-0.8914380073547363,0.0006940363091416657,-0.084,0.04,1.023,0.004151311826926893,-0.002767541217951262,0.4524929891350314,0.8917540031361603,-0.003,-0.014,-0.015,0.577,-0.466,10.033,-0.0882142186164856,0.03350362181663513,0.9999980330467224,-0.004,-0.077,0.059,0.6960708018616006,0.8163729304951552,0.6972457465476463,0.8243991760128175,3.241,True,True,False,False,False,CF_2
1776181428.8298454,-0.08494871109724045,0.04191988334059715,1.0232278108596802,-0.004566533956676722,0.001681896043010056,-0.4535987675189972,-0.8911926746368408,0.0006941247265785933,-0.084,0.041,1.022,0.004151311826926893,-0.002767541217951262,0.453876759744007,0.8910505004151019,-0.003,-0.014,-0.015,0.577,-0.466,10.033,-0.0882142186164856,0.03350362181663513,0.9999980330467224,-0.004,-0.077,0.059,0.6960708018616006,0.8163729304951552,0.6972457465476463,0.8243991760128175,3.241,True,True,False,False,False,CF_2
1776181428.8468957,-0.08502933382987976,0.04192859306931496,1.0231672525405884,-0.0047530559822916985,0.001683544018305838,-0.45403310656547546,-0.8909706473350525,0.0006926055648364127,-0.084,0.041,1.022,0.004151311826926893,-0.002767541217951262,0.453876759744007,0.8910505004151019,-0.003,-0.014,-0.015,0.577,-0.466,10.033,-0.0882142186164856,0.03350362181663513,0.9999980330467224,-0.004,-0.077,0.059,0.6960708018616006,0.8163729304951552,0.6972457465476463,0.8243991760128175,3.241,True,True,False,False,False,CF_2
1776181428.8552723,-0.08507566899061203,0.041931748390197754,1.0231369733810425,-0.004672996234148741,0.0015256822807714343,-0.45420658588409424,-0.8908828496932983,0.0006893464014865458,-0.084,0.041,1.022,0.002767541217951262,-0.001383770608975631,0.453876759744007,0.891059096165226,-0.003,-0.014,-0.015,0.577,-0.466,10.033,-0.0882142186164856,0.03350362181663513,0.9999980330467224,-0.004,-0.077,0.059,0.6960708018616006,0.8163729304951552,0.6972457465476463,0.8243991760128175,3.241,True,True,False,False,False,CF_2
31402,-0.08515407145023346,0.04191259294748306,1.0230869054794312,-0.004722012672573328,0.001284212339669466,-0.45463234186172485,-0.8906658887863159,0.0006892216624692082,-0.084,0.041,1.022,0.002767541217951262,-0.001383770608975631,0.453876759744007,0.891059096165226,-0.003,-0.014,-0.01,-0.072,0.15,9.818,-0.0882142186164856,0.03350362181663513,0.9999980330467224,0.018,-0.01,0.058,0.6947280079346914,0.8279240100709544,0.6993057145037003,0.8099641412985428,3.241,True,True,False,False,False,CF_2
1776181428.8886404,-0.08524996042251587,0.04192173108458519,1.023009181022644,-0.00468446034938097,0.0014435446355491877,-0.4548324644565582,-0.8905635476112366,0.0006935870624147356,-0.085,0.041,1.022,0.002767541217951262,-0.001383770608975631,0.45526053035298264,0.8903528937433908,-0.003,-0.014,-0.01,-0.072,0.15,9.818,-0.0882142186164856,0.03350362181663513,0.9999980330467224,0.018,-0.01,0.058,0.6947280079346914,0.8279240100709544,0.6993057145037003,0.8099641412985428,3.241,True,True,False,False,False,CF_2
1776181428.9049459,-0.08534307777881622,0.04190672188997269,1.022929310798645,-0.0044645764864981174,0.0012644241796806455,-0.45510679483413696,-0.890424907207489,0.0006942185573279858,-0.085,0.041,1.022,0.002767541217951262,-0.001383770608975631,0.45526053035298264,0.8903528937433908,-0.003,-0.014,-0.01,-0.072,0.15,9.818,-0.0882142186164856,0.03350362181663513,0.9999980330467224,0.018,-0.01,0.058,0.6947280079346914,0.8279240100709544,0.6993057145037003,0.8099641412985428,3.241,True,True,False,False,False,CF_2
