t,mx,my,mz,mqx,mqy,mqz,mqw,m_error,ex,ey,ez,eqx,eqy,eqz,eqw,vx,vy,vz,ax,ay,az,sx,sy,sz,p,q,r,m1,m2,m3,m4,vbat,armed,flying,tumbled,locked,crashed,agent_id
1776883623.0201805,-0.009592610411345959,-0.02683875896036625,0.7503914833068848,-0.0003097937151324004,0.004868875723332167,0.09926356375217438,0.995049238204956,0.0006174803711473942,-0.008,-0.026,0.75,0.0,0.001383770608975631,0.0982477132372698,0.9951610281871718,0.055,-0.001,-0.028,-0.046,0.798,9.273,0.01496434211730957,-0.028051063418388367,0.7000001668930054,0.004,0.025,0.091,0.6507515068284123,0.7838254367895018,0.7094834821087969,0.7785610742351415,3.494,True,True,False,False,False,CF_2
1776883623.0201805,-0.3598354458808899,-0.08173537999391556,0.7485445141792297,0.010263004340231419,0.00010174104681937024,0.1539725661277771,-0.9880219101905823,0.0007357744034379721,-0.36,-0.079,0.75,-0.005535082435902524,0.0,-0.15359853759629505,0.9881178331103571,0.028,0.014,-0.014,-0.259,1.131,10.036,-0.360792875289917,-0.052221834659576416,0.7000020146369934,0.042,0.009,-0.007,0.7515831235217822,0.6811932555123217,0.8084992751964599,0.6561684596017395,3.51,True,True,False,False,False,CF_3
1776883623.0367477,-0.009303205646574497,-0.026883672922849655,0.7502627968788147,-0.00039136537816375494,0.004937533754855394,0.10006848722696304,0.9949682354927063,0.0006205103709362447,-0.008,-0.026,0.75,0.0,0.001383770608975631,0.0982477132372698,0.9951610281871718,0.055,-0.001,-0.028,-0.046,0.798,9.273,0.01496434211730957,-0.028051063418388367,0.7000001668930054,0.004,0.025,0.091,0.646845197222858,0.782207980468452,0.716762035553521,0.7738765545128558,3.494,True,True,False,False,False,CF_2
1776883623.0367477,-0.3594658076763153,-0.08194221556186676,0.7481024861335754,0.009980017319321632,0.0006797150708734989,0.15358825027942657,-0.9880843758583069,0.0007335343398153782,-0.36,-0.079,0.75,-0.005535082435902524,0.0,-0.15359853759629505,0.9881178331103571,0.028,0.014,-0.03,0.618,0.287,8.665,-0.360792875289917,-0.052221834659576416,0.7000020146369934,0.043,-0.048,0.008,0.7515831235217822,0.6811932555123217,0.8084992751964599,0.6561684596017395,3.51,True,True,False,False,False,CF_3
1776883623.051905,-0.009071439504623413,-0.02692795917391777,0.7500759363174438,-0.0003756245132535696,0.0043105473741889,0.10085306316614151,0.9948920011520386,0.000620168459136039,-0.008,-0.026,0.75,0.0,0.001383770608975631,0.0982477132372698,0.9951610281871718,0.055,-0.001,-0.028,-0.046,0.798,9.273,0.01496434211730957,-0.028051063418388367,0.7000001668930054,0.004,0.025,0.091,0.646845197222858,0.782207980468452,0.716762035553521,0.7738765545128558,3.494,True,True,False,False,False,CF_2
1776883623.051905,-0.35903337597846985,-0.08221909403800964,0.7475652098655701,0.011168224737048149,0.0018697241321206093,0.15407390892505646,-0.9879944920539856,0.0007331235683523118,-0.359,-0.08,0.748,-0.006918853044878155,-0.001383770608975631,-0.15359853759629505,0.9881081438282576,0.028,0.014,-0.03,0.618,0.287,8.665,-0.360792875289917,-0.052221834659576416,0.7000020146369934,0.043,-0.048,0.008,0.7496147096971084,0.6890363927672236,0.8180056458381018,0.6553597314412146,3.51,True,True,False,False,False,CF_3
1776883623.0678551,-0.008872210048139095,-0.026966102421283722,0.7499001026153564,-2.186298297601752e-05,0.0038132185582071543,0.10162957012653351,0.9948150515556335,0.0006258368957787752,-0.007,-0.026,0.749,0.0,0.0,0.09963148384624543,0.9950244054426983,0.055,-0.001,-0.028,-0.046,0.798,9.273,0.01496434211730957,-0.028051063418388367,0.7000001668930054,0.004,0.025,0.091,0.646845197222858,0.782207980468452,0.716762035553521,0.7738765545128558,3.494,True,True,False,False,False,CF_2
1776883623.0678551,-0.35861125588417053,-0.08248191326856613,0.7470395565032959,0.011121087707579136,0.0024148146621882915,0.15373924374580383,-0.9880459904670715,0.0007445887313224375,-0.359,-0.08,0.748,-0.006918853044878155,-0.001383770608975631,-0.15359853759629505,0.9881081438282576,0.028,0.014,-0.03,0.618,0.287,8.665,-0.360792875289917,-0.052221834659576416,0.7000020146369934,0.043,-0.048,0.008,0.7496147096971084,0.6890363927672236,0.8180056458381018,0.6553597314412146,3.51,True,True,False,False,False,CF_3
1776883623.0834522,-0.008720193058252335,-0.027024846524000168,0.7497164607048035,0.0003157934406772256,0.0034248509909957647,0.10235104709863663,0.9947424530982971,0.000623158470261842,-0.007,-0.026,0.749,0.0,0.0,0.09963148384624543,0.9950244054426983,0.055,-0.001,-0.028,-0.046,0.798,9.273,0.01496434211730957,-0.028051063418388367,0.7000001668930054,0.004,0.025,0.091,0.646845197222858,0.782207980468452,0.716762035553521,0.7738765545128558,3.494,True,True,False,False,False,CF_2
1776883623.0834522,-0.35825949907302856,-0.08267636597156525,0.7465164065361023,0.011286284774541855,0.003645492484793067,0.15344053506851196,-0.9880867004394531,0.0007473552250303328,-0.359,-0.08,0.748,-0.006918853044878155,-0.001383770608975631,-0.15359853759629505,0.9881081438282576,0.028,0.014,-0.03,0.618,0.287,8.665,-0.360792875289917,-0.052221834659576416,0.7000020146369934,0.043,-0.048,0.008,0.7496147096971084,0.6890363927672236,0.8180056458381018,0.6553597314412146,3.51,True,True,False,False,False,CF_3
1776883623.098887,-0.008618139661848545,-0.027112988755106926,0.7495381832122803,5.627581413136795e-05,0.00321652228012681,0.1032663956284523,0.9946485757827759,0.0006271762540563941,-0.007,-0.026,0.749,0.0,0.0,0.09963148384624543,0.9950244054426983,0.046,-0.002,-0.044,0.277,-1.338,11.491,0.01496434211730957,-0.028051063418388367,0.7000001668930054,0.01,0.05,0.086,0.6333409628442817,0.7943541618982223,0.722743572137026,0.7789272907606622,3.494,True,True,False,False,False,CF_2
1776883623.098887,-0.3579564690589905,-0.08287803828716278,0.7460455894470215,0.01204927172511816,0.004838378168642521,0.15363577008247375,-0.9880422949790955,0.00076177908340469,-0.358,-0.081,0.746,-0.006918853044878155,-0.004151311826926893,-0.15359853759629505,0.9881003923341689,0.028,0.014,-0.03,0.618,0.287,8.665,-0.360792875289917,-0.052221834659576416,0.7000020146369934,0.043,-0.048,0.008,0.7496147096971084,0.6890363927672236,0.8180056458381018,0.6553597314412146,3.51,True,True,False,False,False,CF_3
1776883623.1144123,-0.008574426174163818,-0.027127791196107864,0.7494500279426575,0.00010723381274146959,0.0027400704566389322,0.10357809066772461,0.9946175813674927,0.0006265391712076962,-0.007,-0.027,0.749,0.0,-0.001383770608975631,0.1023990250641967,0.994742441461509,0.046,-0.002,-0.044,0.277,-1.338,11.491,0.01496434211730957,-0.028051063418388367,0.7000001668930054,0.01,0.05,0.086,0.6333409628442817,0.7943541618982223,0.722743572137026,0.7789272907606622,3.494,True,True,False,False,False,CF_2
1776883623.1144123,-0.35778510570526123,-0.08299057185649872,0.7458738684654236,0.012293948791921139,0.0053625148721039295,0.15392214059829712,-0.987991988658905,0.0007575434283353388,-0.358,-0.081,0.746,-0.006918853044878155,-0.004151311826926893,-0.15359853759629505,0.9881003923341689,0.025,0.017,-0.026,-0.574,1.466,10.232,-0.360792875289917,-0.052221834659576416,0.7000020146369934,-0.013,0.092,0.015,0.7496147096971084,0.6890363927672236,0.8180056458381018,0.6553597314412146,3.494,True,True,False,False,False,CF_3
1776883623.1300993,-0.00854544434696436,-0.02717537060379982,0.7492622137069702,0.0005696052685379982,0.0021944642066955566,0.10412847995758057,0.9945613741874695,0.000608945672865957,-0.007,-0.027,0.749,0.0,-0.001383770608975631,0.1023990250641967,0.994742441461509,0.046,-0.002,-0.044,0.277,-1.338,11.491,0.01496434211730957,-0.028051063418388367,0.7000001668930054,0.01,0.05,0.086,0.6333409628442817,0.7943541618982223,0.722743572137026,0.7789272907606622,3.483,True,True,False,False,False,CF_2
1776883623.1300993,-0.35743188858032227,-0.08322282880544662,0.7453779578208923,0.012044587172567844,0.005303228739649057,0.153540700674057,-0.9880547523498535,0.0007275444222614169,-0.358,-0.081,0.746,-0.006918853044878155,-0.004151311826926893,-0.15359853759629505,0.9881003923341689,0.025,0.017,-0.026,-0.574,1.466,10.232,-0.360792875289917,-0.052221834659576416,0.7000020146369934,-0.013,0.092,0.015,0.7640344853894865,0.684290836957351,0.8077515831235218,0.6580605783169299,3.494,True,True,False,False,False,CF_3
